player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Nordi Mukiele,Sunderland,DEF,4.1,44,17,7.3,3.3,1,0,540,3,4,0,0,0,0,0,0,5,185.8,47.0,42.0,27.5,8.7,2,2.1,10.7,413891,66917,75998,4700,0.1,-0.1,0.1,-0.1,0.38,0.3,0.68,8.03,6,20,55,21,75,12.5,,39,16,172,43,165,37,97,30,,,,,,,0.06,0.0,0.05,0.11,1.34,0.67,609,158,4,2,4,2,100,37,1.0,0.5
Declan Rice,Arsenal,MID,6.6,43,3,5.4,11.5,1,3,632,4,3,0,0,0,0,0,0,6,172.0,225.9,43.0,44.1,7.7,1,1.2,6.5,922900,579029,183485,19449,0.1,-0.1,0.1,-0.1,0.5,1.24,1.74,4.13,7,6,17,31,54,7.69,,47,16,8,8,164,96,26,18,2.0,,1.0,,,,0.07,0.0,0.18,0.25,0.59,0.43,50,34,10,2,29,8,36,13,1.0,0.57
Jaidon Anthony,Burnley,MID,5.7,43,2,5.4,7.1,4,1,669,3,11,0,0,0,0,3,0,5,219.0,102.3,174.0,49.5,3.0,2,0.5,7.5,1034825,255627,63452,29528,0.2,-0.2,0.0,0.0,2.16,0.62,2.78,14.02,8,12,15,35,62,8.34,,14,4,70,50,17,8,14,10,3.0,,1.0,,,,0.29,0.0,0.08,0.37,1.89,1.48,126,83,115,56,28,7,57,19,1.08,0.4
Nick Pope,Newcastle,GKP,5.2,43,2,5.4,11.6,0,1,720,5,7,0,0,0,22,1,0,3,184.2,0.0,0.0,18.4,3.7,1,0.7,8.3,1118418,277861,55166,20888,0.2,-0.2,0.1,-0.1,0.0,0.0,0.0,5.89,8,1,11,85,0,0.0,,40,8,709,83,703,81,182,8,,,,,,,0.0,2.75,0.0,0.0,0.74,0.88,220,6,82,7,27,3,35,4,1.0,0.62
Mohammed Kudus,Spurs,MID,6.8,41,2,5.1,35.2,1,5,708,3,7,0,0,0,0,2,0,4,198.2,255.2,161.0,61.4,5.3,2,0.8,6.0,2771829,1551069,93546,77544,0.3,-0.3,0.0,0.0,1.29,1.21,2.5,8.9,8,17,1,35,53,6.74,,26,10,3,3,21,9,7,6,2.0,,,,,,0.16,0.0,0.15,0.31,1.13,0.89,48,32,38,16,32,11,4,2,1.02,0.38
João Pedro João Pedro,Chelsea,FWD,7.5,41,2,5.1,58.5,2,3,673,3,8,0,0,0,0,0,0,8,168.4,142.8,138.0,44.4,2.0,2,0.3,5.5,3102136,2558532,79551,355420,0.0,0.0,-0.1,0.1,1.57,0.44,2.01,11.07,8,5,11,16,32,4.28,,49,5,41,1,33,15,25,6,,,,,,,0.21,0.0,0.06,0.27,1.48,1.07,23,8,189,16,33,3,3,2,1.07,0.4
Enzo Enzo,Chelsea,MID,6.7,41,0,5.9,13.4,3,2,618,2,9,0,0,0,0,1,0,3,188.4,140.8,159.0,48.9,3.7,1,0.6,6.1,1983010,1008061,27446,172298,0.2,-0.2,0.0,0.0,3.76,0.51,4.27,9.86,7,14,8,23,45,6.55,Knee injury - 75% chance of playing,34,12,42,33,23,10,15,11,4.0,,3.0,,4.0,,0.55,0.0,0.07,0.62,1.44,1.31,49,33,87,40,19,4,28,11,1.02,0.29
Iliman Ndiaye,Everton,MID,6.5,41,4,5.1,10.9,3,1,673,2,9,0,0,0,0,2,0,1,218.6,167.1,148.0,53.4,4.3,0,0.7,6.3,951719,904284,75193,17109,0.0,0.0,0.0,0.0,2.2,1.6,3.8,10.05,8,20,9,53,82,10.97,,15,5,30,26,26,13,12,9,,,,,1.0,,0.29,0.0,0.21,0.5,1.34,1.2,57,40,65,27,31,10,38,14,1.07,0.27
Trevoh Chalobah,Chelsea,DEF,5.1,41,6,5.9,7.8,2,1,570,3,8,0,0,0,0,1,1,2,195.4,46.1,76.0,31.7,1.0,1,0.2,8.0,1372060,750583,36447,12145,0.1,-0.1,0.0,0.0,0.75,0.55,1.3,7.72,7,11,47,22,58,9.16,,30,12,174,45,85,12,69,18,,,,,,,0.12,0.0,0.09,0.21,1.22,1.26,234,34,258,89,18,11,51,15,1.11,0.47
David Raya,Arsenal,GKP,5.7,40,6,5.0,28.5,0,0,720,5,3,0,0,0,15,1,0,3,140.4,10.0,0.0,15.0,4.7,1,0.8,7.0,1734953,763688,70186,26820,0.2,-0.2,0.0,0.0,0.0,0.04,0.04,4.84,8,0,6,68,0,0.0,,86,12,330,8,729,85,215,12,,,,,,,0.0,1.88,0.0,0.0,0.6,0.38,120,1,48,3,35,4,11,2,1.0,0.62
Josh Cullen,Burnley,MID,5.0,40,3,5.0,2.5,1,1,680,3,12,1,0,0,0,0,0,5,199.6,124.6,28.0,35.3,4.3,1,0.9,8.0,403255,170355,20823,9744,0.0,0.0,0.0,0.0,0.18,0.61,0.79,14.28,8,15,43,35,93,12.31,,25,9,53,42,221,125,54,37,1.0,,,,,,0.02,0.0,0.08,0.1,1.89,1.59,250,154,57,23,34,12,115,41,1.06,0.4
Igor Thiago Thiago,Brentford,FWD,6.1,40,8,5.0,4.3,5,0,651,2,11,0,0,0,0,2,0,6,220.6,75.6,227.0,52.4,7.7,1,1.3,6.6,616438,249159,67464,27597,0.1,-0.1,0.0,0.0,3.56,0.18,3.74,9.49,8,10,17,9,36,4.98,,12,2,101,6,7,4,13,3,,,,,2.0,,0.49,0.0,0.02,0.51,1.31,1.52,84,26,9,3,36,4,81,14,1.11,0.28
Cody Gakpo,Liverpool,MID,7.5,40,7,5.0,13.1,3,2,645,2,10,0,0,0,0,0,0,2,187.0,233.8,243.0,66.5,5.0,0,0.7,5.3,2182316,1623546,155519,25102,0.0,0.0,0.0,0.0,2.77,1.43,4.2,7.1,7,6,12,24,42,5.86,,37,13,6,6,4,1,4,3,,,,,2.0,,0.39,0.0,0.2,0.59,0.99,1.4,22,15,42,19,37,13,30,12,0.98,0.28
Ryan Gravenberch,Liverpool,MID,5.7,39,2,5.6,6.0,2,2,601,2,8,0,0,0,0,2,0,7,178.0,104.8,52.0,33.5,4.0,1,0.7,6.8,891586,257043,30555,84887,0.2,-0.2,0.0,0.0,0.4,0.39,0.79,6.87,7,13,19,28,60,8.99,Ankle injury - 75% chance of playing,45,15,66,47,141,84,61,39,,,,,,,0.06,0.0,0.06,0.12,1.03,1.2,125,82,73,30,25,6,63,20,1.05,0.3
João Maria J.Palhinha,Spurs,MID,5.5,39,9,4.9,1.3,2,1,603,2,7,0,0,0,0,2,0,8,189.8,39.4,70.0,30.0,6.3,0,1.1,7.1,173749,88479,26259,4304,0.0,0.0,0.0,0.0,0.61,0.3,0.91,7.9,7,35,18,17,70,10.45,,32,11,199,128,98,59,79,45,,,,,,,0.09,0.0,0.04,0.13,1.18,1.04,139,88,18,6,38,14,157,54,1.04,0.3
Ismaïla Sarr,Crystal Palace,MID,6.5,38,2,6.3,8.4,3,1,522,3,5,0,0,0,0,1,0,6,159.0,77.6,135.0,37.3,6.7,1,1.0,5.8,1268482,829984,56643,34153,0.0,0.0,0.0,0.0,3.23,0.29,3.52,8.48,6,7,10,18,35,6.03,,62,20,98,71,35,18,41,28,,,,,,,0.56,0.0,0.05,0.61,1.46,0.86,55,38,14,3,7,2,48,16,1.03,0.52
Maxence Lacroix,Crystal Palace,DEF,5.1,38,1,4.8,3.9,0,1,720,3,8,0,0,0,0,1,0,2,181.4,30.9,45.0,25.7,2.7,1,0.5,7.5,560695,278913,2708,25315,0.1,-0.1,0.0,0.0,0.33,0.18,0.51,10.88,8,16,63,25,79,9.88,,43,18,227,66,158,36,112,34,,,,,,,0.04,0.0,0.02,0.06,1.36,1.0,239,36,129,49,40,17,88,33,1.0,0.38
Reece James,Chelsea,DEF,5.4,37,18,4.6,5.7,1,3,513,2,7,0,0,0,0,2,0,3,162.0,167.7,52.0,38.2,8.3,1,1.5,6.9,402588,431890,170352,4352,-0.1,0.1,0.0,0.0,0.34,0.89,1.23,11.02,5,11,25,23,36,6.32,,54,23,29,4,139,27,38,5,3.0,,2.0,,,,0.06,0.0,0.16,0.22,1.93,1.23,176,22,5,3,45,21,67,23,0.88,0.35
Trai Hume,Sunderland,DEF,4.5,37,11,4.6,0.3,0,1,708,4,6,0,0,0,0,0,0,2,126.8,95.2,27.0,25.0,6.0,0,1.3,8.2,34808,25032,3040,912,0.0,0.0,0.0,0.0,0.35,0.36,0.71,9.21,8,15,37,22,52,6.61,,98,46,80,19,224,64,117,37,,,4.0,,,,0.04,0.0,0.05,0.09,1.17,0.76,434,94,21,9,42,19,299,107,1.02,0.51
Jarrod Bowen,West Ham,FWD,7.8,37,2,4.6,8.9,3,0,720,1,18,0,0,0,0,0,0,9,178.8,113.3,193.0,48.6,4.3,0,0.6,4.7,674922,1428516,53945,48237,-0.2,0.2,0.0,0.0,0.91,0.52,1.43,13.56,8,7,16,25,48,6.0,,44,4,60,2,13,7,16,4,,,4.0,,2.0,,0.11,0.0,0.06,0.17,1.7,2.25,19,6,66,8,48,7,47,10,1.0,0.12
Granit Xhaka,Sunderland,MID,5.0,37,5,4.6,4.6,0,3,720,4,6,0,0,0,0,3,0,1,202.6,164.3,23.0,38.9,5.7,0,1.1,7.4,429534,221772,36903,12869,0.0,0.0,0.0,0.0,0.17,0.78,0.95,9.59,8,13,47,41,101,12.62,,22,8,31,27,241,134,36,25,1.0,,1.0,,,,0.02,0.0,0.1,0.12,1.2,0.75,245,151,30,11,43,15,76,23,1.0,0.5
Jack Grealish,Everton,MID,6.9,37,0,5.3,18.5,1,4,556,2,7,0,0,0,0,2,0,7,207.6,228.6,208.0,64.5,4.0,2,0.6,5.4,3063640,1464594,86765,50947,0.4,-0.4,0.0,0.0,0.85,1.89,2.74,8.82,6,10,11,31,52,8.42,,20,6,7,7,9,5,5,4,,,,,,,0.14,0.0,0.31,0.45,1.43,1.13,37,22,75,32,30,9,18,5,0.97,0.32
Jean-Philippe Mateta,Crystal Palace,FWD,7.6,37,17,4.6,12.4,5,0,690,4,6,0,0,0,0,2,0,3,220.4,36.1,356.0,61.3,7.0,1,0.9,4.9,1591154,1187869,324324,27092,0.1,-0.1,0.1,-0.1,7.85,0.47,8.32,9.01,8,3,20,17,40,5.22,,13,3,209,18,2,2,8,2,,,,,2.0,,1.02,0.0,0.06,1.08,1.18,0.78,20,7,12,5,47,6,33,6,1.04,0.52
Tino Livramento,Newcastle,DEF,5.0,37,0,6.2,4.2,0,1,526,5,3,0,0,0,0,0,0,3,71.4,56.3,16.0,14.3,2.0,0,0.4,7.4,936209,941984,131,68699,0.0,0.0,0.0,0.0,0.0,0.33,0.33,4.28,6,6,12,28,18,3.08,Knee injury - Expected back 22 Nov,196,79,144,35,270,83,219,74,,,,,,,0.0,0.0,0.06,0.06,0.73,0.51,269,42,174,66,10,6,83,30,1.03,0.86
Tyrick Mitchell,Crystal Palace,DEF,5.0,36,1,4.5,2.4,1,0,720,3,8,0,0,0,0,2,0,2,189.4,127.8,75.0,39.3,2.0,0,0.4,7.2,227744,119068,2278,14285,0.0,0.0,0.0,0.0,0.39,0.49,0.88,10.88,8,29,38,37,67,8.38,,33,14,51,10,86,13,35,4,,,,,,,0.05,0.0,0.06,0.11,1.36,1.0,266,41,173,65,54,26,120,44,1.0,0.38
Bryan Mbeumo,Man Utd,MID,8.0,36,9,4.5,14.3,2,1,685,2,11,0,0,0,0,0,0,5,139.8,252.7,238.0,63.0,5.7,0,0.7,4.5,1403827,1341179,136078,21835,0.0,0.0,0.0,0.0,2.33,1.8,4.13,12.11,8,2,3,15,20,2.63,,88,26,4,4,6,3,6,5,2.0,,2.0,,,,0.31,0.0,0.24,0.55,1.59,1.45,16,11,33,13,56,18,26,9,1.05,0.26
Michael Keane,Everton,DEF,4.5,36,1,4.5,0.9,1,0,694,2,9,0,0,0,0,0,0,1,198.0,14.5,70.0,28.2,5.3,0,1.2,8.0,124404,67264,7463,3525,0.0,0.0,0.0,0.0,0.83,0.08,0.91,11.93,8,7,70,25,77,9.99,,27,9,298,101,95,16,92,27,,,,,,,0.11,0.0,0.01,0.12,1.55,1.17,394,72,36,13,50,23,184,70,1.04,0.26
Chris Richards,Crystal Palace,DEF,4.5,36,3,4.5,3.3,0,0,720,3,8,0,0,0,0,0,0,0,201.4,47.2,32.0,28.2,3.3,0,0.7,8.0,422769,198468,6809,9578,0.0,0.0,0.0,0.0,0.39,0.8,1.19,10.88,8,20,68,9,88,11.0,,23,8,170,42,204,54,93,28,,,,,,,0.05,0.0,0.1,0.15,1.36,1.0,419,89,93,34,51,24,101,38,1.0,0.38
Guglielmo Vicario,Spurs,GKP,5.1,36,1,4.5,11.2,0,0,720,3,7,0,0,0,24,0,0,5,200.8,0.1,0.0,20.1,2.0,0,0.4,7.1,1170992,543955,5090,50533,0.1,-0.1,0.0,0.0,0.0,0.01,0.01,9.15,8,0,7,68,0,0.0,,24,5,404,11,702,80,162,5,,,,,,,0.0,3.0,0.0,0.0,1.14,0.88,235,7,176,17,55,5,37,5,1.0,0.38
Mohamed M.Salah,Liverpool,MID,14.4,36,2,4.5,32.3,2,2,714,2,11,0,0,0,0,0,0,2,146.6,236.7,211.0,59.4,2.0,0,0.1,2.5,1149825,3504810,7403,433458,-0.1,0.1,0.0,0.0,2.38,1.14,3.52,8.78,8,0,4,25,29,3.66,,77,23,5,5,8,4,9,7,,,4.0,,1.0,,0.3,0.0,0.14,0.44,1.11,1.39,2,1,191,90,59,21,7,3,1.01,0.25
James Garner,Everton,MID,5.0,36,3,4.5,1.0,1,1,720,2,9,0,0,0,0,3,0,5,203.6,152.0,73.0,42.9,3.7,0,0.7,7.2,151282,59112,4323,4692,0.0,0.0,0.0,0.0,0.67,1.06,1.73,12.26,8,20,44,31,95,11.88,,21,7,36,31,91,54,29,21,3.0,,3.0,,,,0.08,0.0,0.13,0.21,1.53,1.12,264,163,81,35,53,17,180,61,1.0,0.25
Bruno B.Fernandes,Man Utd,MID,8.9,36,8,4.5,16.8,2,1,710,1,12,0,0,2,0,2,0,8,229.0,315.2,135.0,68.0,3.3,1,0.4,4.0,1370265,1967412,54442,42117,-0.1,0.1,-0.1,0.1,3.89,1.42,5.31,12.28,8,14,20,48,82,10.39,,10,3,1,1,37,20,3,2,1.0,,1.0,,1.0,,0.49,0.0,0.18,0.67,1.56,1.52,7,4,104,52,57,19,20,6,1.01,0.13
Anton Stach,Leeds,MID,5.1,35,2,4.4,3.3,1,2,678,2,13,0,0,0,0,1,0,3,132.4,205.8,74.0,41.3,2.0,1,0.4,6.9,514729,164230,9755,16219,0.1,-0.1,0.1,-0.1,0.8,0.63,1.43,8.29,8,14,19,28,61,8.1,,91,28,13,13,89,52,30,22,1.0,,4.0,,,,0.11,0.0,0.08,0.19,1.1,1.73,240,148,177,83,61,22,99,34,1.06,0.27
Martín Zubimendi,Arsenal,MID,5.5,35,3,4.4,4.1,2,0,681,5,3,0,0,0,0,1,0,3,152.6,110.8,47.0,31.1,2.7,1,0.5,6.4,555169,357045,12242,28836,0.0,0.0,0.0,0.0,0.26,0.86,1.12,4.42,7,15,18,26,59,7.8,,68,22,62,46,154,90,74,42,,,,,,,0.03,0.0,0.11,0.14,0.58,0.4,150,96,132,64,63,23,85,26,0.93,0.66
James Tarkowski,Everton,DEF,5.5,35,3,4.4,7.1,0,0,720,2,9,0,0,0,0,1,0,1,214.6,53.9,27.0,29.6,3.0,0,0.5,6.4,547130,500704,5902,21540,0.0,0.0,0.0,0.0,0.2,0.44,0.64,12.26,8,14,78,25,92,11.5,,17,6,153,36,225,65,83,23,,,,,,,0.02,0.0,0.06,0.08,1.53,1.12,134,14,112,42,62,28,56,16,1.0,0.25
Marc Cucurella,Chelsea,DEF,6.1,35,8,4.4,22.3,0,2,626,3,8,0,0,0,0,2,0,4,156.8,150.7,49.0,35.6,5.0,0,0.8,5.7,1576490,1434018,63794,19373,0.1,-0.1,0.0,0.0,0.24,1.11,1.35,10.87,7,18,33,28,51,7.33,,64,29,37,6,151,31,51,9,,,,,,,0.03,0.0,0.16,0.19,1.56,1.15,83,2,40,14,65,30,15,6,1.01,0.43
Hugo Ekitiké,Liverpool,FWD,8.6,34,1,4.9,15.6,3,1,409,2,5,0,0,0,0,0,0,7,151.4,54.4,111.0,31.2,0.7,0,0.1,4.0,2558611,2914770,38598,151214,0.1,-0.1,-0.1,0.1,1.98,0.22,2.2,4.92,5,4,11,11,26,5.72,,70,6,150,14,48,18,73,13,,,,,,,0.44,0.0,0.05,0.49,1.08,1.1,9,5,319,37,39,5,22,5,1.1,0.44
Alex Iwobi,Fulham,MID,6.5,34,4,4.2,1.5,1,2,631,1,11,0,0,0,0,1,0,5,142.2,207.0,55.0,40.4,2.7,1,0.4,5.2,163649,167155,5347,8027,0.0,0.0,0.0,0.0,0.4,1.21,1.61,9.85,8,8,8,30,46,6.56,,83,25,12,12,132,79,32,23,,,,,,,0.06,0.0,0.17,0.23,1.4,1.57,53,36,135,66,69,25,151,52,1.14,0.14
Adrien Truffert,Bournemouth,DEF,4.5,33,1,4.1,2.2,0,1,720,3,11,0,0,0,0,0,0,4,156.0,121.3,17.0,29.4,3.0,0,0.7,7.3,289918,109308,10046,7897,0.0,0.0,0.0,0.0,0.04,0.45,0.49,10.78,8,14,36,36,50,6.25,,65,30,57,13,261,79,84,24,,,,,,,0.0,0.0,0.06,0.06,1.35,1.38,439,96,109,41,71,32,124,46,1.0,0.38
Richarlison Richarlison,Spurs,FWD,6.6,33,1,4.1,12.1,3,1,483,2,5,0,0,0,0,1,0,6,148.2,59.8,205.0,41.3,1.3,1,0.2,5.0,2422705,1666113,12441,192629,0.1,-0.1,-0.1,0.1,1.69,0.3,1.99,6.78,5,3,15,14,32,5.96,,75,7,133,12,10,5,31,7,,,,,3.0,,0.31,0.0,0.06,0.37,1.26,0.93,51,17,235,22,74,9,34,7,0.93,0.37
Rúben Rúben,Man City,DEF,5.5,33,6,4.1,4.5,0,0,635,4,5,0,0,0,0,0,0,1,140.0,19.7,2.0,16.2,5.7,0,1.0,6.0,275804,227039,14790,7424,0.0,0.0,0.0,0.0,0.0,0.18,0.18,7.3,7,5,45,22,50,7.09,,87,41,278,93,364,131,203,67,,,,,,,0.0,0.0,0.03,0.03,1.03,0.71,140,16,31,11,72,33,79,29,0.99,0.57
Yankuba Minteh,Brighton,MID,6.0,33,2,4.1,3.6,1,2,682,1,9,0,0,0,0,0,0,3,160.0,186.9,203.0,55.1,3.0,0,0.5,5.5,488701,203839,20789,22129,0.0,0.0,0.0,0.0,1.73,1.5,3.23,10.23,8,17,11,35,63,8.31,,59,19,25,23,11,6,11,8,,,,,,,0.23,0.0,0.2,0.43,1.35,1.19,92,60,116,57,73,26,96,31,1.06,0.13
Daniel Ballard,Sunderland,DEF,4.6,33,10,5.5,2.4,1,0,309,2,1,0,0,0,0,0,0,5,159.6,42.7,112.0,31.5,4.7,1,1.0,7.2,612167,569840,4667,3938,0.1,-0.1,0.0,0.0,0.55,0.31,0.86,3.07,3,6,48,7,54,15.73,,61,27,187,50,47,4,70,19,,,,,,,0.16,0.0,0.09,0.25,0.89,0.29,387,69,46,18,26,16,122,45,0.87,0.58
Bruno Bruno G.,Newcastle,MID,6.5,32,2,4.6,2.4,2,1,625,4,7,0,0,0,0,2,0,3,128.2,131.9,72.0,33.2,6.0,1,0.9,4.9,225183,189772,14035,8359,0.0,0.0,0.0,0.0,0.68,0.78,1.46,5.33,7,15,5,38,58,8.35,,95,30,48,38,92,55,62,40,,,,,,,0.1,0.0,0.11,0.21,0.77,1.01,54,37,27,10,46,16,121,44,1.01,0.58
Marcus Tavernier,Bournemouth,MID,5.5,32,5,4.0,1.2,1,1,586,4,7,0,0,0,0,0,0,3,120.6,133.4,107.0,36.2,3.0,1,0.5,5.8,258593,184747,7593,5261,0.0,0.0,0.0,0.0,0.92,1.14,2.06,7.17,7,12,15,35,62,9.52,,110,36,46,37,52,30,48,32,1.0,,1.0,,,,0.14,0.0,0.18,0.32,1.1,1.08,143,90,113,55,82,29,162,57,1.08,0.61
Virgil Virgil,Liverpool,DEF,6.0,32,3,4.0,26.4,0,0,720,2,11,0,0,0,0,1,0,4,256.2,29.4,52.0,33.7,2.0,0,0.3,5.3,1311253,1253649,15355,100444,0.0,0.0,-0.1,0.1,0.41,0.14,0.55,9.21,8,4,90,18,94,11.75,,4,2,235,69,142,28,60,12,,,3.0,,,,0.05,0.0,0.02,0.07,1.15,1.38,85,3,185,67,84,37,13,5,1.0,0.25
